,Date,UPRO,Unnamed: 2,URPO_PRICES
474,4/5/88,2.9%,,0.5511942042935631
475,4/6/88,8.0%,,0.5952897406370482
476,4/7/88,0.8%,,0.6000520585621446
477,4/8/88,3.6%,,0.6216539326703818
478,4/11/88,0.7%,,0.6260055101990745
479,4/12/88,1.3%,,0.6341435818316624
480,4/13/88,0.2%,,0.6354118689953258
481,4/14/88,-13.2%,,0.5515375022879427
482,4/15/88,0.1%,,0.5520890397902306
483,4/18/88,-0.8%,,0.5476723274719087
484,4/19/88,-1.6%,,0.5389095702323582
485,4/20/88,-2.0%,,0.528131378827711
486,4/21/88,0.2%,,0.5291876415853665
487,4/22/88,4.3%,,0.5519427101735371
488,4/25/88,2.7%,,0.5668451633482225
489,4/26/88,1.7%,,0.5764815311251422
490,4/27/88,-0.2%,,0.5753285680628919
491,4/28/88,-1.4%,,0.5672739681100114
492,4/29/88,-1.5%,,0.5587648585883612
493,5/2/88,0.2%,,0.5598823883055379
494,5/3/88,1.7%,,0.5694003889067321
495,5/4/88,-3.0%,,0.55231837723953
496,5/5/88,-1.6%,,0.5434812832036976
497,5/6/88,-1.6%,,0.5347855826724385
498,5/9/88,-0.9%,,0.5299725124283865
499,5/10/88,1.2%,,0.5363321825775271
500,5/11/88,-5.1%,,0.5089792412660732
501,5/12/88,0.6%,,0.5120331167136696
502,5/13/88,3.4%,,0.5294422426819344
503,5/16/88,2.3%,,0.5416194142636188
504,5/17/88,-3.7%,,0.521579495935865
505,5/18/88,-4.8%,,0.4965436801309434
506,5/19/88,1.4%,,0.5034952916527766
507,5/20/88,0.4%,,0.5055092728193877
508,5/23/88,-2.6%,,0.4923660317260836
509,5/24/88,3.2%,,0.5081217447413183
510,5/25/88,0.3%,,0.5096461099755423
511,5/26/88,1.0%,,0.5147425710752978
512,5/27/88,-1.3%,,0.5080509176513188
513,5/31/88,10.2%,,0.5598721112517534
514,6/1/88,5.2%,,0.5889854610368446
515,6/2/88,-1.6%,,0.579561693660255
516,6/3/88,1.3%,,0.5870959956778382
517,6/6/88,0.5%,,0.5900314756562274
518,6/7/88,-2.1%,,0.5776408146674465
519,6/8/88,7.1%,,0.6186533125088353
520,6/9/88,-1.4%,,0.6099921661337115
521,6/10/88,1.1%,,0.6167020799611823
522,6/13/88,0.1%,,0.6173187820411434
523,6/14/88,3.2%,,0.63707298306646
524,6/15/88,0.1%,,0.6377100560495264
525,6/16/88,-5.1%,,0.6051868431910005
526,6/17/88,1.0%,,0.6112387116229104
527,6/20/88,-2.0%,,0.5990139373904522
528,6/21/88,3.0%,,0.6169843555121658
529,6/22/88,4.4%,,0.6441316671547012
530,6/23/88,-0.9%,,0.6383344821503089
531,6/24/88,-1.0%,,0.6319511373288058
532,6/27/88,-5.3%,,0.598457727050379
533,6/28/88,3.7%,,0.620600662951243
534,6/29/88,-1.5%,,0.6112916530069744
535,6/30/88,2.7%,,0.6277965276381626
536,7/1/88,-1.9%,,0.6158683936130376
537,7/5/88,4.5%,,0.6435824713256242
538,7/6/88,-4.3%,,0.6159084250586223
539,7/7/88,-0.2%,,0.6146766082085051
540,7/8/88,-2.0%,,0.602383076044335
541,7/11/88,0.5%,,0.6053949914245567
542,7/12/88,-3.1%,,0.5866277466903954
543,7/13/88,1.5%,,0.5954271628907513
544,7/14/88,1.1%,,0.6019768616825495
545,7/15/88,2.0%,,0.6140163989162005
546,7/18/88,-1.8%,,0.6029641037357089
547,7/19/88,-2.3%,,0.5890959293497875
548,7/20/88,1.6%,,0.5985214642193841
549,7/21/88,-3.7%,,0.5763761700432669
550,7/22/88,-3.7%,,0.555050251751666
551,7/25/88,1.2%,,0.561710854772686
552,7/26/88,0.7%,,0.5656428307560948
553,7/27/88,-3.1%,,0.5481079030026559
554,7/28/88,4.0%,,0.5700322191227621
555,7/29/88,6.8%,,0.60879441002311
556,8/1/88,0.1%,,0.609403204433133
557,8/2/88,0.0%,,0.609403204433133
558,8/3/88,1.1%,,0.6161066396818974
559,8/4/88,-1.0%,,0.6099455732850784
560,8/5/88,-0.9%,,0.6044560631255127
561,8/8/88,-1.3%,,0.5965981343048811
562,8/9/88,-3.7%,,0.5745240033356005
563,8/10/88,-5.2%,,0.5446487551621493
564,8/11/88,1.0%,,0.5500952427137707
565,8/12/88,-0.3%,,0.5484449569856295
566,8/15/88,-4.4%,,0.5243133788782617
567,8/16/88,2.2%,,0.5358482732135834
568,8/17/88,0.2%,,0.5369199697600106
569,8/18/88,0.3%,,0.5385307296692905
570,8/19/88,-1.0%,,0.5331454223725975
571,8/22/88,-3.8%,,0.5128858963224389
572,8/23/88,0.2%,,0.5139116681150837
573,8/24/88,4.6%,,0.5375516048483776
574,8/25/88,-2.2%,,0.5257254695417133
575,8/26/88,0.5%,,0.5283540968894218
576,8/29/88,3.1%,,0.5447330738929939
577,8/30/88,0.2%,,0.5458225400407798
578,8/31/88,-1.2%,,0.5392726695602904
579,9/1/88,-3.6%,,0.5198588534561199
580,9/2/88,7.2%,,0.5572886909049606
581,9/6/88,1.1%,,0.5634188665049151
582,9/7/88,0.2%,,0.5645457042379249
583,9/8/88,0.1%,,0.5651102499421629
584,9/9/88,1.1%,,0.5713264626915265
585,9/12/88,-0.6%,,0.5678985039153773
586,9/13/88,1.1%,,0.5741453874584465
587,9/14/88,2.1%,,0.5862024405950738
588,9/15/88,-1.4%,,0.5779956064267427
589,9/16/88,2.7%,,0.5936014878002648
590,9/19/88,-2.0%,,0.5817294580442595
591,9/20/88,1.1%,,0.5881284820827463
592,9/21/88,0.5%,,0.59106912449316
593,9/22/88,-1.2%,,0.5839762949992421
594,9/23/88,0.6%,,0.5874801527692376
595,9/26/88,-0.9%,,0.5821928313943144
596,9/27/88,-0.7%,,0.5781174815745542
