Date,Open,High,Low,Close,Adj Close,Volume,open_moving_avg_50
2017-02-10,29.559999,29.842501,29.522499,29.74,27.46032,2306800,27.763449920000003
2017-02-13,29.977501,30.34,29.965,30.2125,27.896605,2523200,27.84524992
2017-02-14,30.155001,30.605,29.99,30.605,28.259018,2172000,27.937249939999997
2017-02-15,30.5,31.15,30.475,31.055,28.674522,2554800,28.04354996
2017-02-16,31.067499,31.155001,30.65,30.997499,28.621429,3195600,28.154249959999998
2017-02-17,30.674999,31.1075,30.6675,31.1075,28.722996,2228400,28.25334996
2017-02-21,31.297501,31.747499,31.285,31.65,29.223909,2732000,28.36284998
2017-02-22,31.487499,31.690001,31.4125,31.602501,29.180056,2665600,28.454649980000003
2017-02-23,31.85,31.85,31.3025,31.657499,29.230837,3489200,28.547649959999998
2017-02-24,31.2325,31.7875,31.227501,31.7875,29.350876,2390800,28.621399960000005
2017-02-27,31.735001,31.9725,31.602501,31.905001,29.459372,3122400,28.700899980000003
2017-02-28,31.7325,31.8325,31.4375,31.645,29.219299,2719600,28.77734998
2017-03-01,32.415001,33.189999,32.412498,32.9575,30.431189,3872000,28.8765
2017-03-02,32.8825,32.887501,32.325001,32.372501,29.891033,3061600,28.976999999999997
2017-03-03,32.3125,32.48,32.127499,32.422501,29.937197,3098400,29.071049979999998
2017-03-06,32.02,32.275002,31.83,32.119999,29.657888,2941600,29.152799959999996
2017-03-07,31.969999,32.130001,31.725,31.8475,29.406273,3066800,29.23279996
2017-03-08,31.9575,32.07,31.575001,31.6625,29.235455,4086000,29.31769996
2017-03-09,31.690001,31.905001,31.307501,31.747499,29.313936,3416000,29.39879998
2017-03-10,32.2075,32.217499,31.6525,32.055,29.597872,3942400,29.48629998
2017-03-13,32.055,32.137501,31.9,32.110001,29.648651,1491200,29.566750000000003
2017-03-14,31.865,31.877501,31.465,31.737499,29.304708,3264400,29.6585
2017-03-15,32.025002,32.7575,31.91,32.532501,30.038771,4504800,29.751750060000003
2017-03-16,32.654999,32.669998,32.224998,32.400002,29.916422,5068000,29.85550002
2017-03-17,32.517502,32.580002,32.212502,32.212502,29.743299,2408400,29.95280006
2017-03-20,32.185001,32.325001,31.915001,32.087502,29.62788,2757600,30.0383501
2017-03-21,32.375,32.432499,30.799999,30.879999,28.512939,6515200,30.125800079999998
2017-03-22,30.875,31.190001,30.584999,31.049999,28.669903,3771200,30.18065008
2017-03-23,30.9625,31.477501,30.799999,30.959999,28.586803,3348000,30.24040008
2017-03-24,31.112499,31.352501,30.5425,30.9125,28.542948,4364000,30.30425006
2017-03-27,30.115,30.91,30.0,30.780001,28.420601,3237600,30.347050059999997
2017-03-28,30.655001,31.637501,30.620001,31.432501,29.023087,2798800,30.399100079999997
2017-03-29,31.334999,31.65,31.217501,31.5625,29.143122,2466800,30.468300059999997
2017-03-30,31.512501,31.93,31.442499,31.8125,29.373955,2553600,30.5393501
2017-03-31,31.6675,31.905001,31.58,31.5875,29.166206,2183200,30.611200080000003
2017-04-03,31.65,31.7125,30.865,31.4625,29.050787,4154400,30.684100100000002
2017-04-04,31.285,31.525,31.127501,31.512501,29.096952,4488400,30.75220012
2017-04-05,31.7925,32.255001,31.122499,31.18,28.789938,4515200,30.830350120000002
2017-04-06,31.2675,31.695,31.092501,31.445,29.034624,1854400,30.88105012
2017-04-07,31.334999,31.674999,31.1425,31.360001,28.956144,1834000,30.927750099999997
2017-04-10,31.415001,31.775,31.174999,31.397499,28.990763,2067600,30.97610014
2017-04-11,31.2325,31.3325,30.6175,31.3025,28.903049,2908800,31.030250140000003
2017-04-12,31.172501,31.252501,30.782499,30.905001,28.53602,2782800,31.092150180000004
2017-04-13,30.725,31.0525,30.297501,30.3025,27.979702,4100400,31.13560018
2017-04-17,30.5175,31.0725,30.422501,31.067499,28.686064,2580400,31.182850159999997
2017-04-18,30.7575,31.0375,30.4825,30.7925,28.43214,3318800,31.223300140000003
2017-04-19,31.049999,31.2075,30.525,30.627501,28.279789,2571600,31.26915012
2017-04-20,30.879999,31.555,30.752501,31.3475,28.944603,2454400,31.307650099999996
2017-04-21,31.305,31.327499,30.870001,31.0425,28.662977,2192000,31.3607001
2017-04-24,32.087502,32.162498,31.852501,32.040001,29.584023,2588400,31.422200120000003
2017-04-25,32.372501,32.782501,32.325001,32.607498,30.108017,2329600,31.47845016
2017-04-26,32.6175,33.025002,32.544998,32.5825,30.084929,2221600,31.531250139999997
2017-04-27,32.717499,32.779999,32.384998,32.66,30.156494,2266400,31.5825001
2017-04-28,32.779999,32.779999,32.365002,32.439999,29.953356,2041200,31.62810008
2017-05-01,32.630001,32.860001,32.459999,32.630001,30.12879,1042100,31.65935012
2017-05-02,32.75,32.779999,32.5,32.700001,30.193432,1100100,31.700850139999996
2017-05-03,32.48,32.66,32.25,32.540001,30.045691,2750700,31.72450012
2017-05-04,32.709999,32.720001,32.279999,32.650002,30.147259,1366700,31.74895012
2017-05-05,32.849998,33.040001,32.639999,33.040001,30.50736,1258800,31.76895008
2017-05-08,33.080002,33.130001,32.830002,33.049999,30.5166,1425200,31.805900119999997
2017-05-09,33.18,33.25,32.77,32.970001,30.44273,1749800,31.8348001
2017-05-10,32.919998,33.110001,32.82,33.110001,30.571997,699300,31.858550060000002
2017-05-11,32.91,32.98,32.400002,32.93,30.405798,1253200,31.86845004
2017-05-12,32.779999,32.830002,32.599998,32.759998,30.248833,723000,31.86640002
2017-05-15,32.919998,33.32,32.91,33.220001,30.673565,1409300,31.878549980000003
2017-05-16,33.41,33.419998,32.990002,33.16,30.61816,1256900,31.90634998
2017-05-17,32.330002,32.57,31.379999,31.440001,29.030012,3034600,31.91355004
2017-05-18,31.33,32.169998,31.26,31.76,29.32548,2075500,31.90100004
